date,category,macro_category,amount,currency
2025-01-01,Food & Drink,FOOD & DRINK,90.58,EUR
2025-01-02,Shopping,PALESTRA,140.99,EUR
2025-01-03,Entertainment,FOR FUNS,-195.25,EUR
2025-01-04,Bank,BANCA,158.28,EUR
2025-01-05,Tech,TECH,-92.83,EUR
2025-02-06,Tech,TECH,-185.72,EUR
2025-02-07,Bank,BANCA,-165.44,EUR
2025-02-08,Tech,TECH,-49.31,EUR
2025-02-09,Food & Drink,FOOD & DRINK,-17.44,EUR
2025-02-10,Home,CASA,128.17,EUR
2025-03-11,Transport,TRASPORTO,74.13,EUR
2025-03-12,Food & Drink,FOOD & DRINK,179.16,EUR
2025-03-13,Travel,VACANZE,42.95,EUR
2025-03-14,Health,HEALTHCARE,-13.54,EUR
2025-03-15,Tech,TECH,-138.19,EUR
2025-04-16,Transfer,TRASFERIMENTI,-193.66,EUR
2025-04-17,Shopping,PALESTRA,-77.24,EUR
2025-04-18,Food & Drink,FOOD & DRINK,-41.95,EUR
2025-04-19,Shopping,PALESTRA,-97.76,EUR
2025-04-20,Health,HEALTHCARE,-135.61,EUR
2025-05-21,Transfer,TRASFERIMENTI,-167.37,EUR
2025-05-22,Travel,VACANZE,-65.91,EUR
2025-05-23,Bank,BANCA,161.93,EUR
2025-05-24,Home,CASA,-61.22,EUR
2025-05-25,Entertainment,FOR FUNS,-32.25,EUR
2025-06-26,Home,CASA,-6.44,EUR
2025-06-27,Bank,BANCA,134.65,EUR
2025-06-28,Shopping,PALESTRA,-157.24,EUR
2025-06-01,Tech,TECH,-115.9,EUR
2025-06-02,Food & Drink,FOOD & DRINK,-27.33,EUR
